algorithm,size
leiden,14
leiden,13
leiden,13
leiden,11
leiden,10
leiden,8
leiden,7
leiden,7
leiden,5
leiden,5
leiden,4
leiden,4
leiden,118
leiden,115
leiden,101
leiden,94
leiden,82
leiden,81
leiden,64
leiden,54
leiden,51
leiden,47
leiden,19
leiden,15
leiden,12
leiden,6
leiden,4
leiden,128
leiden,97
leiden,54
leiden,47
leiden,38
leiden,36
leiden,4
leiden,20
leiden,15
leiden,5
leiden,160
leiden,74
leiden,58
leiden,48
leiden,45
leiden,28
leiden,23
leiden,22
leiden,21
leiden,18
leiden,15
leiden,5
leiden,44
leiden,36
leiden,21
leiden,4
leiden,23
leiden,15
leiden,14
leiden,13
leiden,10
leiden,10
leiden,9
leiden,8
leiden,5
leiden,181
leiden,37
leiden,30
leiden,22
leiden,18
leiden,5
leiden,43
leiden,20
leiden,12
leiden,12
leiden,12
leiden,11
leiden,35
leiden,24
leiden,22
leiden,19
leiden,18
leiden,11
leiden,7
leiden,12
leiden,11
leiden,8
leiden,61
leiden,23
leiden,10
leiden,32
leiden,27
leiden,22
leiden,15
leiden,14
leiden,52
leiden,36
leiden,20
leiden,18
leiden,9
leiden,5
leiden,5
leiden,5
leiden,12
leiden,9
leiden,8
leiden,5
leiden,83
leiden,39
leiden,34
leiden,28
leiden,28
leiden,25
leiden,14
leiden,12
leiden,10
leiden,8
leiden,6
leiden,114
leiden,76
leiden,53
leiden,52
leiden,48
leiden,33
leiden,30
leiden,27
leiden,72
leiden,62
leiden,41
leiden,30
leiden,23
leiden,6
leiden,6
leiden,36
leiden,32
leiden,29
leiden,22
leiden,4
leiden,11
leiden,8
leiden,6
leiden,5
leiden,5
leiden,19
leiden,16
leiden,13
leiden,11
leiden,10
leiden,4
leiden,79
leiden,57
leiden,52
leiden,39
leiden,28
leiden,25
leiden,16
leiden,15
leiden,14
leiden,4
leiden,4
leiden,13
leiden,12
leiden,9
leiden,9
leiden,21
leiden,17
leiden,14
leiden,5
leiden,5
leiden,4
leiden,22
leiden,17
leiden,6
leiden,19
leiden,19
leiden,10
leiden,9
leiden,8
leiden,6
leiden,5
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,115
leiden,61
leiden,51
leiden,46
leiden,44
leiden,38
leiden,27
leiden,14
leiden,13
leiden,12
leiden,12
leiden,6
leiden,6
leiden,5
leiden,5
leiden,31
leiden,30
leiden,17
leiden,16
leiden,11
leiden,11
leiden,44
leiden,31
leiden,24
leiden,23
leiden,17
leiden,9
leiden,301
leiden,106
leiden,82
leiden,78
leiden,77
leiden,70
leiden,57
leiden,54
leiden,51
leiden,47
leiden,36
leiden,35
leiden,34
leiden,34
leiden,33
leiden,32
leiden,29
leiden,28
leiden,26
leiden,26
leiden,26
leiden,24
leiden,20
leiden,18
leiden,16
leiden,13
leiden,13
leiden,11
leiden,10
leiden,9
leiden,9
leiden,8
leiden,7
leiden,7
leiden,7
leiden,6
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,43
leiden,34
leiden,20
leiden,18
leiden,10
leiden,7
leiden,6
leiden,5
leiden,5
leiden,4
leiden,4
leiden,42
leiden,35
leiden,35
leiden,31
leiden,17
leiden,14
leiden,13
leiden,8
leiden,6
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,26
leiden,26
leiden,17
leiden,11
leiden,7
leiden,6
leiden,6
leiden,30
leiden,15
leiden,12
leiden,10
leiden,9
leiden,8
leiden,7
leiden,6
leiden,4
leiden,112
leiden,69
leiden,60
leiden,55
leiden,47
leiden,41
leiden,41
leiden,36
leiden,25
leiden,22
leiden,9
leiden,9
leiden,45
leiden,34
leiden,33
leiden,30
leiden,26
leiden,10
leiden,7
leiden,6
leiden,16
leiden,12
leiden,11
leiden,8
leiden,7
leiden,53
leiden,38
leiden,37
leiden,29
